16460	16460	12028500	1
16540	16540	12154500	1
2853	2853	12154500	1
17024	17024	12028500	1
3032	3032	12028500	1
3254	3254	12154500	1
3536	3536	12154500	1
3627	3627	12154500	1
17214	17214	12154500	1
17214	17214	12154500	26
17640	17640	12154500	1
17640	17640	12154500	26
3631	3631	10944750	1
17718	17718	12154500	1
17940	17940	12154500	1
4078	4078	10944750	1
4078	4078	12154500	1
4281	4281	12154500	1
18292	18292	12154500	1
4300	4300	12154500	1
4571	4571	1206500	1
4571	4571	12154500	1
18571	18571	12154500	1
4694	4694	12154500	1
4949	4949	12154500	1
18575	18575	10944750	1
18947	18947	12154500	1
19102	19102	12154500	1
19149	19149	12154500	1
19166	19166	10944750	1
19414	19414	10944750	1
12173	12173	12154500	1
9922	9922	12028500	1
5041	5041	12154500	1
19421	19421	12154500	1
5185	5185	10944750	1
10151	10151	12154500	1
5254	5254	12028500	1
19440	19440	12154500	1
19673	19673	10944750	1
19673	19673	10944750	26
19973	19973	12154500	1
5267	5267	12154500	1
282	282	12154500	1
396	396	12028500	1
20207	20207	12154500	1
10176	10176	12154500	1
20300	20300	12154500	1
20342	20342	12154500	1
20386	20386	12028500	1
20411	20411	12154500	1
10480	10480	10944750	1
5297	5297	12154500	1
11776	11776	10944750	1
11776	11776	12154500	1
5357	5357	10944750	1
20796	20796	12028500	1
20909	20909	12154500	1
10718	10718	12154500	1
5639	5639	12028500	1
10970	10970	10944750	1
20956	20956	12154500	1
11022	11022	10944750	1
21110	21110	10944750	1
12490	12490	10944750	1
21294	21294	12154500	1
21308	21308	12154500	1
21336	21336	12154500	1
21501	21501	10944750	1
21657	21657	12154500	1
5807	5807	12154500	1
21672	21672	10944750	1
21838	21838	12154500	1
22484	22484	12028500	1
6080	6080	10944750	1
6290	6290	10944750	1
23251	23251	10944750	1
23556	23556	12154500	1
6294	6294	10944750	1
622	622	12028500	1
23564	23564	10944750	1
23662	23662	10944750	1
23797	23797	12154500	1
24015	24015	12154500	1
11026	11026	10944750	1
24157	24157	12154500	1
11167	11167	10944750	1
24359	24359	10944750	1
24687	24687	12154500	1
6880	6880	12154500	1
12599	12599	10944750	1
24869	24869	10944750	1
24978	24978	12154500	1
25260	25260	12028500	1
6918	6918	10944750	1
25372	25372	10944750	1
25372	25372	10944750	26
7150	7150	10944750	1
7150	7150	10944750	26
25488	25488	12154500	1
11176	11176	12154500	1
7373	7373	10944750	1
12722	12722	12154500	1
25687	25687	10944750	1
25687	25687	10944750	10
7695	7695	12154500	1
7737	7737	10944750	1
25723	25723	12154500	1
12747	12747	12154500	1
26114	26114	12154500	1
26619	26619	10944750	1
7741	7741	12154500	1
26722	26722	12154500	1
7868	7868	1206500	1
27014	27014	12028500	1
12870	12870	12154500	1
11328	11328	12154500	1
8628	8628	10944750	1
27272	27272	12028500	1
13020	13020	12154500	1
8689	8689	10944750	1
8689	8689	10944750	10
8689	8689	12154500	1
8689	8689	12154500	26
27492	27492	12154500	1
27940	27940	12154500	1
8719	8719	10944750	1
28011	28011	10944750	1
13226	13226	12154500	1
13226	13226	12154500	26
11465	11465	10944750	1
11573	11573	12154500	1
13240	13240	12154500	1
28347	28347	12154500	1
28357	28357	12154500	1
9153	9153	12154500	1
11922	11922	12154500	1
637	637	12154500	1
28410	28410	12154500	1
28504	28504	10944750	1
28621	28621	12154500	1
9305	9305	12154500	1
13390	13390	12028500	1
13390	13390	12028500	26
28924	28924	12154500	1
29099	29099	12154500	1
29547	29547	10944750	1
29547	29547	12154500	1
9471	9471	12154500	1
9471	9471	12154500	26
9804	9804	12154500	1
13451	13451	10944750	1
13451	13451	10944750	10
13489	13489	12154500	1
13592	13592	10944750	1
647	647	12154500	1
9506	9506	12154500	1
679	679	10944750	1
679	679	12028500	1
13747	13747	12028500	1
13779	13779	10944750	1
11605	11605	12154500	1
13793	13793	12154500	1
14065	14065	12154500	1
14261	14261	12154500	1
1337	1337	12154500	1
9817	9817	10944750	1
14580	14580	10944750	1
14580	14580	12154500	1
14818	14818	12154500	1
1461	1461	10944750	1
9838	9838	12154500	1
14821	14821	12028500	1
1472	1472	10944750	1
9653	9653	12154500	1
1758	1758	12154500	1
1996	1996	10944750	1
11942	11942	10944750	1
11942	11942	10944750	10
12055	12055	10944750	1
155	155	12154500	1
14864	14864	12154500	1
2119	2119	12154500	1
2351	2351	12154500	1
2382	2382	12154500	1
14894	14894	12154500	1
2504	2504	12154500	1
15018	15018	12154500	1
11638	11638	10944750	1
2568	2568	12154500	1
2568	2568	12154500	26
2683	2683	12154500	1
2739	2739	12154500	1
15086	15086	12154500	1
15086	15086	12154500	26
15311	15311	12028500	1
15311	15311	12028500	26
15315	15315	10944750	1
15315	15315	12154500	1
15761	15761	10944750	1
15923	15923	12154500	1
15934	15934	12154500	1
2826	2826	10944750	1
15935	15935	12028500	1
15980	15980	10944750	1
9856	9856	12154500	1
