19500	143	1
19500	949	1
19500	2257	1
19500	2610	1
19500	2641	1
19500	2655	1
19500	3190	1
19500	3650	1
19500	3720	1
19500	3926	1
19500	4949	1
19500	5086	1
19500	5086	26
19500	5254	1
19500	6148	1
19500	6542	1
19500	6621	1
19500	7096	1
19500	7096	26
19500	7868	1
19500	7902	1
19500	8261	1
19500	8311	1
19500	8737	1
19500	8816	1
19500	8850	1
19500	9549	1
19500	9975	1
19500	10014	1
19500	10726	1
19500	11080	1
19500	11176	1
19500	11280	1
19500	11329	1
19500	11679	1
19500	12055	1
19500	12435	1
19500	12754	1
19500	13450	1
19500	14020	1
19500	14048	1
19500	14048	26
19500	14261	1
19500	14294	1
19500	15162	1
19500	15222	1
19500	16077	1
19500	16945	1
19500	17572	1
19500	18072	1
19500	18353	1
19500	18575	1
19500	18630	1
19500	18730	1
19500	18886	1
19500	19158	1
19500	19421	1
19500	19421	26
19500	19466	1
19500	19573	1
19500	20079	1
19500	20823	1
19500	21110	1
19500	21400	1
19500	21841	1
19500	22384	1
19500	22947	1
19500	23662	1
19500	25249	1
19500	25424	1
19500	25933	1
19500	25933	26
19500	26737	1
19500	27511	1
19500	27927	1
19500	27927	26
19500	27946	1
19500	27946	26
19500	28230	1
19500	28357	1
19500	28453	1
19500	28694	1
19500	29084	1
29750	12220	1
38250	554	1
38250	1188	1
38250	1228	1
38250	1969	1
38250	2257	1
38250	2470	1
38250	2504	1
38250	2610	1
38250	2689	1
38250	2694	1
38250	3553	1
38250	3647	1
38250	3740	1
38250	4411	1
38250	4685	1
38250	4949	1
38250	4959	1
38250	5721	1
38250	5845	1
38250	6096	1
38250	6337	1
38250	6591	1
38250	7096	1
38250	7654	1
38250	8358	1
38250	8717	1
38250	8719	1
38250	9111	1
38250	9512	1
38250	9657	1
38250	10329	1
38250	10840	1
38250	11080	1
38250	11176	1
38250	11176	26
38250	11857	1
38250	12259	1
38250	12271	1
38250	12331	1
38250	12512	1
38250	12990	1
38250	13118	1
38250	14265	1
38250	14265	26
38250	14272	1
38250	14585	1
38250	15138	1
38250	15138	26
38250	15446	1
38250	15934	1
38250	16395	1
38250	16655	1
38250	17087	1
38250	17458	1
38250	17590	1
38250	17590	26
38250	18024	1
38250	18312	1
38250	18397	1
38250	18730	1
38250	18730	26
38250	18805	1
38250	18834	1
38250	18835	1
38250	19458	1
38250	20078	1
38250	20300	1
38250	20361	1
38250	20529	1
38250	20874	1
38250	21681	1
38250	22260	1
38250	22489	1
38250	22991	1
38250	23214	1
38250	23262	1
38250	23623	1
38250	24196	1
38250	24541	1
38250	24855	1
38250	25222	1
38250	25260	1
38250	25424	1
38250	25982	1
38250	26225	1
38250	26357	1
38250	26852	1
38250	27625	1
38250	27683	1
38250	28008	1
38250	28181	1
38250	28727	1
38250	29022	1
38250	29203	1
39750	1224	1
39750	17058	1
42000	239	1
42000	1828	1
42000	2173	1
42000	2273	1
42000	2971	1
42000	3105	1
42000	4254	1
42000	4571	1
42000	4743	1
42000	4790	1
42000	4913	1
42000	4960	1
42000	5157	1
42000	5411	1
42000	5557	1
42000	6065	1
42000	6219	1
42000	6363	1
42000	7172	1
42000	7248	1
42000	7856	1
42000	7927	1
42000	7975	1
42000	8118	1
