11465	11465	10944750	1
13451	13451	10944750	1
13451	13451	10944750	10
13779	13779	10944750	1
14580	14580	10944750	1
15315	15315	10944750	1
15761	15761	10944750	1
15980	15980	10944750	1
18575	18575	10944750	1
19673	19673	10944750	1
19673	19673	10944750	26
1996	1996	10944750	1
21110	21110	10944750	1
21501	21501	10944750	1
23251	23251	10944750	1
23662	23662	10944750	1
25687	25687	10944750	1
25687	25687	10944750	10
26619	26619	10944750	1
4078	4078	10944750	1
5185	5185	10944750	1
6290	6290	10944750	1
7373	7373	10944750	1
8628	8628	10944750	1
8689	8689	10944750	1
8689	8689	10944750	10
