3795000	12352,29099
10713250	11220
10063000	21110,14930,22889,10893
4317250	12173,15159,5619
725000	17835,20902
6683750	17945,2826,29551,29203,5267,10169
12173500	15405,554,1325,3627,15534,28184,28370,22607,21110
981000	11176,27160,14020,14153,12394
3304500	24461,4931,1197,17228,29099,3804,26634,10461,3592,11631,8219,22269,15874,13554,903
10393750	29265,2437
7600250	24869,25570,11176,3228
7323750	27019,11196
8102000	21110,768
10234000	25570,14020,14261,10970,9111,3719,15019,25086,8692,28975,24409,28653,11524,4039
11300000	8375,2963,12063
11939000	23260
10212500	24788,15959,24081
42000	13390,11578
9839750	18167
7345250	2750
4115500	6731,26619,14470
8017000	15096,23284,22280,3719,27505
1727500	3228,9563,7812,4452,28669
969750	3047,17823,2367,2963
7184500	10193,7868,16939,24517,6352
8060000	18024,19882
1792000	20630,16540,9301,23214
1365000	14580
9946250	21865,26619,23241
12377250	22556,3151,18075,19023,5492,2729,19405,14020,22313,27946,24427,5799,24447
1140750	7868,25651,14261,22313,6741,17823,12541,15395
8633500	8148
393250	2891,22306,20154,13093,4949
5264500	4172
190500	20751,18465,4281
4454500	27117,26699,4059
19500	19421,20551,25933,27927,27946,5086,14048,7096
1758250	6571,28481,2764,27791,28463,3091
3903500	1392,15514
11972750	954,4846,15631,647,21693,17972
1118250	24306,11176,19096,5661,8278,26665,3068,6672,10970,18712,14794
3114000	20536,21092,23928
8072250	14020,14894,27033,22095,19514,23143,11196,526,19036,22
2331750	22732,29099,27179,8628,7179,953,24385,10584,19539,20626
3216500	20548,21146,18697,28992,26121,8028
1063000	24196,14165,22280,15019,28481,20551,22749,24929,530
1244250	28183,1691,4324
10944750	7150,28752,19673,25372
6996000	13754
5226500	3627
1319000	599,5797,10449
2940000	26722,24519,14580,12168,25260,11272,24486,11767,2683,25086
10966250	4949,251,17087
11701500	17760,4281,4366,16481,24737
3846250	15584,11679,23143,16722,8719
10539250	14020,1461
3249250	26394
9720000	29442,2771,13830
5407750	16373,16821,3850,6352
1767500	14626
5279750	3228,2368
7892000	1530,911
7699500	9802,1546,26127,11679,8173,23698,5848,23928,13592,14182
1629250	19891,24601,9120,18024,21392,24196,29099
1832000	10916
5034000	7465
3035250	11080
8051750	29389,7936
7016500	26546
4809750	679,23884
2088000	617,15019,21883
6272000	2803,12055,17400
5011500	6219,11196,20180,22280,27092,23779,13749
6400000	26737,28270,3536,2452,15258,2600,18712,20551,9567,15065,22371,3313
6634500	6571
380000	14174,1773
7306250	4691,2249
10443000	14482,19466,10570,1392,13460,23628,28378
7476250	1037,29099,24907
3719250	17150,4960
10261750	14261,17061,8278,17405,16331,5285,18805,17060,21657,23628,23896,19394,14533
11564250	25483,9140,6104,14969
764000	15081,16300,18990
3014750	13471,7868,2353
9782500	6352
2492500	16939,20979
9163000	11482,6571,23475,5594,7977,11080
1904750	27314,9138,23928
3089500	1917
11896000	16564
