3795000	12352,29099
10713250	11220
10063000	22889,21110,14930,10893
4317250	12173,15159,5619
725000	17835,20902
6683750	29203,29551,10169,5267,2826,17945
12173500	22607,15405,1325,554,28184,15534,3627,28370,21110
981000	14153,12394,14020,11176,27160
3304500	29099,4931,1197,24461,26634,10461,15874,13554,903,8219,3804,22269,3592,17228,11631
10393750	2437,29265
7600250	24869,25570,11176,3228
7323750	27019,11196
8102000	21110,768
10234000	25086,14020,8692,3719,14261,9111,10970,25570,28653,28975,4039,15019,24409,11524
11300000	12063,2963,8375
11939000	23260
10212500	15959,24788,24081
42000	13390,11578
9839750	18167
7345250	2750
4115500	6731,14470,26619
8017000	22280,3719,23284,27505,15096
1727500	9563,7812,4452,28669,3228
969750	2367,17823,3047,2963
7184500	6352,24517,16939,7868,10193
8060000	19882,18024
1792000	9301,16540,23214,20630
1365000	14580
9946250	23241,21865,26619
12377250	22556,5492,3151,18075,22313,19023,19405,14020,5799,24447,27946,24427,2729
1140750	7868,22313,12541,14261,17823,6741,15395,25651
8633500	8148
393250	22306,2891,13093,4949,20154
5264500	4172
190500	20751,18465,4281
4454500	27117,4059,26699
19500	20551,19421,27946,25933,7096,14048,27927,5086
1758250	28481,27791,6571,28463,2764,3091
3903500	1392,15514
11972750	647,15631,21693,4846,17972,954
1118250	11176,24306,19096,5661,10970,14794,18712,8278,26665,3068,6672
3114000	20536,23928,21092
8072250	14894,19514,27033,11196,22,526,23143,22095,19036,14020
2331750	19539,24385,20626,953,10584,27179,22732,29099,7179,8628
3216500	20548,21146,26121,8028,28992,18697
1063000	22749,24929,530,22280,24196,28481,14165,20551,15019
1244250	1691,28183,4324
10944750	7150,19673,25372,28752
6996000	13754
5226500	3627
1319000	599,10449,5797
2940000	11272,25086,24486,2683,26722,12168,11767,25260,14580,24519
10966250	4949,17087,251
11701500	24737,17760,16481,4366,4281
3846250	23143,8719,16722,15584,11679
10539250	1461,14020
3249250	26394
9720000	29442,13830,2771
5407750	16373,6352,3850,16821
1767500	14626
5279750	2368,3228
7892000	911,1530
7699500	5848,8173,11679,13592,14182,9802,23698,1546,26127,23928
1629250	24601,9120,19891,21392,18024,24196,29099
1832000	10916
5034000	7465
3035250	11080
8051750	29389,7936
7016500	26546
4809750	23884,679
2088000	617,21883,15019
6272000	12055,2803,17400
5011500	22280,11196,6219,20180,23779,13749,27092
6400000	3313,28270,3536,2452,15258,2600,18712,9567,20551,15065,22371,26737
6634500	6571
380000	14174,1773
7306250	4691,2249
10443000	1392,19466,10570,14482,13460,28378,23628
7476250	1037,24907,29099
3719250	4960,17150
10261750	17405,8278,17061,14261,16331,17060,5285,23896,19394,18805,14533,21657,23628
11564250	14969,6104,25483,9140
764000	16300,15081,18990
3014750	7868,13471,2353
9782500	6352
2492500	20979,16939
9163000	7977,5594,23475,6571,11080,11482
1904750	27314,23928,9138
3089500	1917
11896000	16564
